sentCount,dropN,actionCount,n_row,leadCount,actionRate,leadRate
1588024,1,248427,1,3131,0.156437812,0.001971633
1533064,2,241605,2,2960,0.15759616,0.001930774
1513259,3,236182.223,3,2558,0.156075214,0.001690391
1447879,4,226385.274,4,2902,0.156356487,0.002004311
1410561,5,220152.805,5,2560,0.156074643,0.001814881
1347530,6,209432.12,6,2646,0.155419263,0.001963593
1278890,7,198062.56,7,2381,0.154870677,0.001861771
1228218,8,187587.9412,8,1879,0.152731796,0.001529859
1201541,9,183250.1706,9,1904,0.152512624,0.001584632
1173242,10,177947.694,10,1777,0.151671773,0.001514607
1141604,11,170932.832,11,1603,0.149730407,0.001404165
1110558,12,164235.906,12,1602,0.147885933,0.001442518
1076997,13,157474.982,13,1412,0.146216732,0.001311053
1031695,14,149930.865,14,1329,0.145324796,0.001288171
994577,15,142798.039,15,1301,0.143576655,0.001308094
969376,16,139214.6176,16,1358,0.14361261,0.001400901
938732,17,134764.5064,17,1092,0.14356015,0.001163271
904869,18,124247.345,18,1082,0.13730976,0.001195753
873340,19,118853.94,19,1127,0.136091259,0.001290448
844502,20,114594.012,20,972,0.135694187,0.001150974
822545,21,111290.725,21,1037,0.13530047,0.001260721
800812,22,108069.9264,22,969,0.134950433,0.001210022
779642,23,105044.778,23,947,0.134734632,0.00121466
755752,24,100994.8849,24,925,0.133634955,0.001223946
737354,25,98031.18888,25,865,0.132949966,0.001173114
718413,26,94996.18243,26,880,0.132230601,0.001224922
698803,27,92308.5403,27,870,0.132095226,0.001244986
682084,28,89917.0096,28,822,0.131826886,0.00120513
665843,29,86422.79352,29,819,0.129794551,0.00123002
644258,30,82332.2796,30,801,0.127793958,0.001243291
615862,31,77826.63,31,740,0.126370242,0.001201568
602089,32,74545.2392,32,725,0.123810997,0.001204141
588733,33,68686.52648,33,719,0.116668382,0.001221267
573298,34,64898.788,34,684,0.113202537,0.001193097
558615,35,61948.075,35,721,0.110895832,0.001290692
545900,36,57734.8,36,633,0.105760762,0.001159553
533962,37,55142,37,626,0.103269521,0.001172368
523739,38,53604,38,628,0.102348689,0.001199071
513807,39,51423,39,660,0.100082327,0.001284529
504702,40,50324,40,586,0.099710324,0.001161081
495179,41,48383,41,645,0.097708102,0.001302559
485333,42,46900,42,571,0.096634682,0.001176512
476140,43,45037,43,560,0.094587726,0.001176125
466954,44,43058,44,578,0.092210368,0.001237809
459401,45,41047,45,572,0.089348957,0.0012451
452394,46,40496,46,524,0.089514892,0.001158282
443974,47,39223,47,499,0.088345263,0.00112394
434548,48,37847,48,471,0.087095097,0.001083885
423379,49,36938,49,470,0.087245707,0.001110116
412233,50,35724,50,513,0.086659729,0.001244442
401760,51,34913,51,560,0.086900139,0.001393867
393048,52,33347,52,466,0.084842055,0.001185606
381766,53,31633,53,452,0.082859657,0.001183971
369389,54,29995,54,484,0.08120166,0.001310272
358001,55,27833,55,485,0.077745593,0.001354745
346879,56,26494,56,468,0.076378218,0.001349174
335827,57,25411,57,386,0.075666936,0.001149401
324509,58,24336,58,408,0.074993298,0.001257284
314193,59,23107,59,385,0.073543968,0.001225361
305283,60,23484,60,403,0.076925345,0.001320087
296597,61,22268,61,343,0.075078305,0.001156451
289078,62,21205,62,369,0.073353904,0.001276472
282222,63,20502,63,321,0.072644939,0.001137402
275660,64,20199,64,320,0.073275049,0.00116085
269227,65,19801,65,316,0.073547601,0.001173731
262882,66,19104,66,287,0.072671389,0.001091745
256792,67,18767,67,352,0.073082495,0.001370759
248890,68,18073,68,340,0.072614408,0.001366065
240546,69,17449,69,277,0.07253914,0.001151547
234484,70,17012,70,276,0.072550792,0.001177053
228113,71,16157,71,300,0.070828931,0.001315138
222515,72,15822,72,290,0.071105319,0.001303283
216535,73,15414,73,287,0.071184797,0.001325421
210905,74,14974,74,238,0.070998791,0.00112847
205810,75,14540,75,231,0.070647685,0.001122394
200753,76,14020,76,257,0.069837063,0.00128018
196424,77,13729,77,218,0.069894718,0.001109844
191776,78,13682,78,235,0.071343651,0.001225388
187122,79,13348,79,211,0.071333141,0.001127607
181193,80,12740,80,199,0.070311767,0.001098276
176800,81,12198,81,199,0.068993213,0.001125566
172908,82,11770,82,186,0.068070882,0.001075717
169254,83,11384,83,199,0.067259858,0.001175748
165090,84,10989,84,207,0.066563693,0.001253862
160738,85,10726,85,205,0.066729709,0.001275367
156785,86,10198,86,193,0.065044488,0.001230985
152649,87,10029,87,167,0.065699743,0.001094013
148161,88,9539,88,162,0.064382665,0.001093405
144309,89,9024,89,203,0.062532482,0.001406704
140176,90,8660,90,170,0.061779477,0.001212761
136298,91,8228,91,148,0.060367724,0.001085856
132433,92,8061,92,138,0.060868515,0.001042036
128630,93,7599,93,134,0.059076421,0.001041748
125283,94,7396,94,132,0.059034346,0.001053615
122160,95,7292,95,134,0.059692207,0.001096922
119376,96,7011,96,126,0.058730398,0.001055489
116393,97,6781,97,124,0.058259517,0.001065356
113353,98,6344,98,146,0.055966759,0.001288012
110061,99,6208,99,125,0.056405084,0.001135734
106604,100,5963,100,127,0.055935987,0.001191325
103144,101,5757,101,97,0.055815171,0.000940433
99765,102,5710,102,114,0.057234501,0.001142685
96135,103,5612.332556,103,107,0.058379701,0.001113018
92823,104,5149.72007,104,99,0.055478923,0.001066546
89381,105,4854.81643,105,72,0.054315978,0.00080554
85881,106,4421.706438,106,74,0.051486434,0.000861657
82451,107,4190.701688,107,86,0.050826572,0.001043044
